method,seed,period,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_slot_frequency,emergency_day_frequency,emergency_event_count,oracle_cost_yuan,regret_vs_oracle,saving_vs_manual
Ridge,2026,holdout_61,2924600.2871291228,115878.19300204169,3040478.480131164,4730432.832748891,31446.302041139457,339305.5551444671,0.17884790528233152,1.0,776,2727592.149467768,0.11471155272405698,0.008989318437117588
SeasonalEWMA,0,full_334,13697290.252888419,1145267.7170784061,14842557.969966825,22448851.834651195,300627.4760776651,3473049.518263648,0.187999001996008,0.9910179640718563,3713,12245046.91527763,0.2121274889889062,-0.015491904782228172
SeasonalEWMA,0,cost_common_245,10378867.10862388,896072.8398696496,11274939.94849353,16873465.717965275,234339.9648743901,2645788.70057368,0.19024943310657597,0.9877551020408163,2614,9252397.243984384,0.21859661352349935,-0.019952937796228865
SeasonalEWMA,0,development_184,7413738.710785782,746837.0187671982,8160575.72955298,12084636.221742522,193517.8985889343,2240042.1798784006,0.1922931763285024,0.9836956521739131,1907,6524805.094516614,0.2507003061916826,-0.021819980308556364
SeasonalEWMA,0,holdout_61,2965128.3978380985,149235.82110245145,3114364.2189405505,4788829.496222752,40822.066285455796,405746.5206952792,0.1840846994535519,1.0,707,2727592.149467768,0.14179981767004746,-0.015092929424116441
SeasonalNaive7,0,full_334,13907681.145579439,1266307.9909522114,15173989.136531651,22755664.629846692,335376.611767,3805029.8480363293,0.18968313373253493,0.9910179640718563,3815,12245046.91527763,0.23919403833395703,-0.038167623301915476
SeasonalNaive7,0,cost_common_245,10585056.998119753,989092.8435554947,11574149.84167525,17171873.006770503,261798.51165033336,2962680.259512218,0.1899092970521542,0.9877551020408163,2686,9252397.243984384,0.2509352480731839,-0.04702004511232305
SeasonalNaive7,0,development_184,7585303.112516505,818461.0185924447,8403764.131108949,12332858.18906635,215599.13928366668,2502387.463548998,0.18934933574879226,0.9836956521739131,1949,6524805.094516614,0.2879716726207491,-0.05227062201870947
SeasonalNaive7,0,holdout_61,2999753.88560325,170631.82496305,3170385.7105662995,4839014.8177041495,46199.372366666656,460292.79596322024,0.1915983606557377,1.0,737,2727592.149467768,0.1623386257307322,-0.03335252144589851
SimplexWeekly,0,full_334,13717799.083999407,1144829.6265727421,14862628.71057215,22482078.383311152,301078.39377546194,3505213.7613853742,0.18712574850299402,0.9910179640718563,3688,12245046.91527763,0.2137665795325514,-0.016865096293349868
SimplexWeekly,0,cost_common_245,10401234.14908323,885728.8599519077,11286963.009035137,16908613.068471074,232131.01395625863,2677124.375834631,0.18818027210884353,0.9877551020408163,2590,9252397.243984384,0.21989606708397247,-0.02104056717401126
