grid_size,month,weekday,soc,relative_future_cost
9,2,5,6300.0,-142.63333666666813
9,2,5,6450.0,-213.90000499999906
9,2,5,6600.0,-285.08333999999877
9,2,5,6750.0,-356.26667499999894
9,2,5,6900.0,-427.4500099999991
9,2,5,7050.0,-498.6333449999988
9,2,5,7200.0,-569.816679999999
9,2,5,7350.0,-641.0000149999987
9,2,5,7500.0,-712.1833499999989
9,2,5,7650.0,-783.366684999999
9,2,5,7800.0,-854.550019999992
9,2,5,7950.0,-925.7000216666584
9,2,5,8100.0,-996.8500233333252
9,2,5,8250.0,-1068.0000249999916
9,2,5,8400.0,-1139.1500266666585
9,2,5,8550.0,-1210.300028333325
9,2,5,8700.0,-1281.3000299999949
9,2,5,8850.0,-1352.0500316666612
9,2,5,9000.0,-1422.8000333333284
9,2,5,9150.0,-1493.5500349999948
9,2,5,9300.0,-1564.300036666661
9,2,5,9450.0,-1635.0500383333283
9,2,5,9600.0,-1705.8000399999946
9,2,5,9750.0,-1776.5500416666619
9,2,5,9900.0,-1847.3000433333282
9,2,5,10050.0,-1918.0500449999945
9,2,5,10200.0,-1988.8000466666617
9,2,5,10350.0,-2054.572224049997
9,2,5,10500.0,-2112.2037226999973
9,2,5,10650.0,-2169.8352213499975
9,2,5,10800.0,-2227.4667199999976
9,2,4,1200.0,2292.3500533333245
9,2,4,1350.0,2220.500051666658
9,2,4,1500.0,2148.650049999991
9,2,4,1650.0,2076.8000483333244
9,2,4,1800.0,2004.9500466666582
9,2,4,1950.0,1933.1000449999915
9,2,4,2100.0,1861.2500433333248
9,2,4,2250.0,1789.4000416666581
9,2,4,2400.0,1717.5500399999914
9,2,4,2550.0,1645.7000383333248
9,2,4,2700.0,1573.9333699999938
9,2,4,2850.0,1502.2500349999939
9,2,4,3000.0,1430.566699999994
9,2,4,3150.0,1358.8833649999938
9,2,4,3300.0,1287.2000299999938
9,2,4,3450.0,1215.516694999994
9,2,4,3600.0,1143.833359999994
9,2,4,3750.0,1072.150024999994
9,2,4,3900.0,1000.4666899999938
9,2,4,4050.0,928.7833549999939
9,2,4,4200.0,857.2333533333212
9,2,4,4350.0,785.6833516666543
9,2,4,4500.0,714.1333499999878
9,2,4,4650.0,642.5833483333213
9,2,4,4800.0,571.0333466666543
9,2,4,4950.0,499.4833449999878
9,2,4,5100.0,427.9333433333213
9,2,4,5250.0,356.5833416666651
9,2,4,5400.0,285.2666733333317
9,2,4,5550.0,213.95000499999833
9,2,4,5700.0,142.63333666666495
9,2,4,5850.0,71.31666833333156
9,2,4,6000.0,-1.3642420526593924e-12
9,2,4,6150.0,-71.31666833333475
9,2,4,6300.0,-142.63333666666813
9,2,4,6450.0,-213.90000500000633
9,2,4,6600.0,-285.08334000000605
9,2,4,6750.0,-356.2666750000062
9,2,4,6900.0,-427.4500100000064
9,2,4,7050.0,-498.6333450000061
9,2,4,7200.0,-569.8166800000063
9,2,4,7350.0,-641.000015000006
9,2,4,7500.0,-712.1833500000062
9,2,4,7650.0,-783.3666850000063
9,2,4,7800.0,-854.550020000006
9,2,4,7950.0,-925.7000216666729
9,2,4,8100.0,-996.8500233333398
9,2,4,8250.0,-1068.0000250000062
9,2,4,8400.0,-1139.150026666673
9,2,4,8550.0,-1210.3000283333395
9,2,4,8700.0,-1281.3000300000058
9,2,4,8850.0,-1352.050031666672
9,2,4,9000.0,-1422.8000333333393
